date_lab_plate	Title	Date	Lab	Plate
2023-09-07_Demengeot_plate_2	2023-09-07 plate_2	2023-09-07	Demengeot	plate_2
2023-09-07_Demengeot_plate_3	2023-09-07 plate_3	2023-09-07	Demengeot	plate_3
2023-09-07_Demengeot_plate_4	2023-09-07 plate_4	2023-09-07	Demengeot	plate_4
2023-09-09_Demengeot_plate_1	2023-09-09 plate_1	2023-09-09	Demengeot	plate_1
2023-09-09_Demengeot_plate_2	2023-09-09 plate_2	2023-09-09	Demengeot	plate_2
2023-09-09_Demengeot_plate_3	2023-09-09 plate_3	2023-09-09	Demengeot	plate_3
2023-09-09_Demengeot_plate_4	2023-09-09 plate_4	2023-09-09	Demengeot	plate_4
2023-09-09_Demengeot_plate_5	2023-09-09 plate_5	2023-09-09	Demengeot	plate_5
2023-09-09_Demengeot_plate_6	2023-09-09 plate_6	2023-09-09	Demengeot	plate_6
2023-09-12_Demengeot_plate_1	2023-09-12 plate_1	2023-09-12	Demengeot	plate_1
2023-09-12_Demengeot_plate_2	2023-09-12 plate_2	2023-09-12	Demengeot	plate_2
2023-09-12_Demengeot_plate_3	2023-09-12 plate_3	2023-09-12	Demengeot	plate_3
2023-09-12_Demengeot_plate_4	2023-09-12 plate_4	2023-09-12	Demengeot	plate_4
2023-09-12_Demengeot_plate_5	2023-09-12 plate_5	2023-09-12	Demengeot	plate_5
2023-08-18_Howard_plate_1	Fri Aug 18 2023 (P1)	2023-08-18	Howard	plate_1
2023-08-18_Howard_plate_2	Fri Aug 18 2023 (P2)	2023-08-18	Howard	plate_2
2023-08-18_Howard_plate_3	Fri Aug 18 2023 (P3)	2023-08-18	Howard	plate_3
2023-08-18_Howard_plate_4	Fri Aug 18 2023 (P4)	2023-08-18	Howard	plate_4
2023-08-18_Howard_plate_5	Fri Aug 18 2023 (P5)	2023-08-18	Howard	plate_5
2023-10-06_Howard_plate_1	Fri Oct 06 2023 (P1)	2023-10-06	Howard	plate_1
2023-10-06_Howard_plate_2	Fri Oct 06 2023 (P2)	2023-10-06	Howard	plate_2
2023-10-06_Howard_plate_3	Fri Oct 06 2023 (P3)	2023-10-06	Howard	plate_3
2023-10-06_Howard_plate_4	Fri Oct 06 2023 (P4)	2023-10-06	Howard	plate_4
2023-10-06_Howard_plate_5	Fri Oct 06 2023 (P5)	2023-10-06	Howard	plate_5
2023-08-21_Howard_plate_1	Mon Aug 21 2023 (P1)	2023-08-21	Howard	plate_1
2023-08-21_Howard_plate_2	Mon Aug 21 2023 (P2)	2023-08-21	Howard	plate_2
2023-08-21_Howard_plate_3	Mon Aug 21 2023 (P3)	2023-08-21	Howard	plate_3
2023-08-21_Howard_plate_4	Mon Aug 21 2023 (P4)	2023-08-21	Howard	plate_4
2023-12-25_Howard_plate_1	Mon Dec 25 2023 (P1)	2023-12-25	Howard	plate_1
2023-12-25_Howard_plate_2	Mon Dec 25 2023 (P2)	2023-12-25	Howard	plate_2
2023-12-25_Howard_plate_3	Mon Dec 25 2023 (P3)	2023-12-25	Howard	plate_3
2023-12-25_Howard_plate_4	Mon Dec 25 2023 (P4)	2023-12-25	Howard	plate_4
2023-12-25_Howard_plate_5	Mon Dec 25 2023 (P5)	2023-12-25	Howard	plate_5
2023-12-25_Howard_plate_6	Mon Dec 25 2023 (P6)	2023-12-25	Howard	plate_6
2023-12-25_Howard_plate_7	Mon Dec 25 2023 (P7)	2023-12-25	Howard	plate_7
2023-12-25_Howard_plate_8	Mon Dec 25 2023 (P8)	2023-12-25	Howard	plate_8
2023-11-13_Howard_plate_1	Mon Nov 13 2023 (P1)	2023-11-13	Howard	plate_1
2023-11-13_Howard_plate_2	Mon Nov 13 2023 (P2)	2023-11-13	Howard	plate_2
2023-11-13_Howard_plate_3	Mon Nov 13 2023 (P3)	2023-11-13	Howard	plate_3
2023-11-13_Howard_plate_4	Mon Nov 13 2023 (P4)	2023-11-13	Howard	plate_4
2023-11-13_Howard_plate_5	Mon Nov 13 2023 (P5)	2023-11-13	Howard	plate_5
2023-11-13_Howard_plate_6	Mon Nov 13 2023 (P6)	2023-11-13	Howard	plate_6
2023-11-27_Howard_plate_1	Mon Nov 27 2023 (P1)	2023-11-27	Howard	plate_1
2023-11-27_Howard_plate_2	Mon Nov 27 2023 (P2)	2023-11-27	Howard	plate_2
2023-11-27_Howard_plate_3	Mon Nov 27 2023 (P3)	2023-11-27	Howard	plate_3
2023-11-27_Howard_plate_4	Mon Nov 27 2023 (P4)	2023-11-27	Howard	plate_4
2023-11-27_Howard_plate_5	Mon Nov 27 2023 (P5)	2023-11-27	Howard	plate_5
2023-11-27_Howard_plate_6	Mon Nov 27 2023 (P6)	2023-11-27	Howard	plate_6
2023-11-27_Howard_plate_7	Mon Nov 27 2023 (P7)	2023-11-27	Howard	plate_7
2023-11-27_Howard_plate_8	Mon Nov 27 2023 (P8)	2023-11-27	Howard	plate_8
2023-08-12_Howard_plate_1	Sat Aug 12 2023 (P1)	2023-08-12	Howard	plate_1
2023-08-12_Howard_plate_2	Sat Aug 12 2023 (P2)	2023-08-12	Howard	plate_2
2023-08-12_Howard_plate_3	Sat Aug 12 2023 (P3)	2023-08-12	Howard	plate_3
2023-08-12_Howard_plate_4	Sat Aug 12 2023 (P4)	2023-08-12	Howard	plate_4
